0.98, -0.08, 0.04
0.08, 0.12, 1.05
-0.55, 0.85, -0.20
-0.64, 0.73, -0.13
-1.04, 0.09, 0.06
0.15, 0.01, 0.97
0.20, 0.42, 0.90
-0.08, 0.15, 1.01
-0.09, 0.16, 1.01
-0.09, 0.16, 1.01
0.00, 0.01, 1.03
0.01, 0.01, 1.03
0.01, 0.01, 1.03
0.01, 0.01, 1.03
0.02, 0.01, 1.03
-0.17, -0.08, 1.01
0.16, -0.08, 1.02
0.16, -0.09, 1.01
0.08, -0.01, 1.03
0.04, 0.13, 1.02
0.01, 0.12, 1.02
-0.07, 0.28, 0.98
-0.06, 0.28, 0.98
-0.06, 0.27, 0.97
-0.06, 0.32, 0.97
-1.04, 0.09, 0.06
0.15, 0.01, 0.97
0.20, 0.42, 0.90
0.20, 0.42, 0.90
0.20, 0.42, 0.90
0.20, 0.42, 0.90
0.20, 0.42, 0.90
0.20, 0.42, 0.90
0.20, 0.42, 0.90
0.20, 0.42, 0.90
0.20, 0.42, 0.90
0.20, 0.42, 0.90
0.20, 0.42, 0.90
0.20, 0.42, 0.90
0.20, 0.42, 0.90
0.20, 0.42, 0.90
0.20, 0.42, 0.90
0.20, 0.42, 0.90
0.20, 0.42, 0.90
0.20, 0.42, 0.90
0.20, 0.42, 0.90
0.20, 0.42, 0.90
-0.08, 0.15, 1.01
-0.09, 0.16, 1.01
-0.09, 0.16, 1.01
0.01, 0.01, 1.03
0.02, 0.01, 1.03
-0.17, -0.08, 1.01
-0.16, -0.08, 1.02
-0.16, -0.09, 1.01
0.08, -0.01, 1.03
0.01, 0.12, 1.02
-0.07, 0.28, 0.98
-0.06, 0.32, 0.97
