time,acc_x,acc_y,acc_z,acc_linear,gps
2025-04-09 21:54:07.000055171+00:00,-1.6390501260757446,7.168050289154053,7.045050144195557,10.183327638736772,"{""lat"":30.5146219,""lon"":76.6625156}"
2025-04-09 21:54:07.992530540+00:00,-1.4050500392913818,7.008000373840332,6.990000247955322,9.997316555910112,"{""lat"":30.5146219,""lon"":76.6625156}"
2025-04-09 21:54:09.313867115+00:00,-1.1959500312805176,7.101000308990479,6.993000507354736,10.037756619955791,"{""lat"":30.5146219,""lon"":76.6625156}"
2025-04-09 21:54:10.335714758+00:00,-1.1749500036239624,7.065000534057617,7.009050369262695,10.02105419285376,"{""lat"":30.5146219,""lon"":76.6625156}"
2025-04-09 21:54:11.336693349+00:00,-1.0170000791549685,7.378950119018555,6.562050342559815,9.926917886144446,"{""lat"":30.5146219,""lon"":76.6625156}"
2025-04-09 21:54:12.362243484+00:00,-0.9040500521659852,7.5199503898620605,6.532950401306152,10.002319796363944,"{""lat"":30.5146219,""lon"":76.6625156}"
2025-04-09 21:54:13.346245277+00:00,-0.8419500589370728,7.599000453948975,6.436950206756592,9.994399219819298,"{""lat"":30.5146219,""lon"":76.6625156}"
2025-04-09 21:54:15.546726296+00:00,-0.9450000524520874,7.551000595092773,6.415950298309326,9.953645227583785,"{""lat"":30.5146219,""lon"":76.6625156}"
2025-04-09 21:54:15.826737558+00:00,-0.8130000233650208,7.44795036315918,6.59505033493042,9.981363763050634,"{""lat"":30.5146219,""lon"":76.6625156}"
2025-04-09 21:54:16.816288626+00:00,-0.8970000147819519,7.491000175476074,6.499050140380859,9.957778134839412,"{""lat"":30.5146219,""lon"":76.6625156}"
2025-04-09 21:54:17.829476007+00:00,-0.8059500455856323,7.494000434875488,6.543000221252441,9.981004452919706,"{""lat"":30.5146219,""lon"":76.6625156}"
2025-04-09 21:54:18.874281531+00:00,-0.7369500398635864,7.506000518798828,6.58305025100708,10.010978461506529,"{""lat"":30.5146219,""lon"":76.6625156}"
2025-04-09 21:54:19.876862207+00:00,-0.8659500479698181,7.537050247192383,6.423000335693359,9.940418966351404,"{""lat"":30.5146219,""lon"":76.6625156}"
2025-04-09 21:54:20.864897450+00:00,-0.7129500508308411,7.659000396728516,6.199950218200684,9.879674466308794,"{""lat"":30.5146219,""lon"":76.6625156}"
2025-04-09 21:54:21.881791070+00:00,-0.6310500502586365,7.645050525665283,6.327000141143799,9.943638795327397,"{""lat"":30.5146219,""lon"":76.6625156}"
2025-04-09 21:54:22.909659077+00:00,-0.6649500131607056,6.900000095367432,4.287000179290772,8.150492646049814,"{""lat"":30.5146219,""lon"":76.6625156}"
2025-04-09 21:54:23.905582427+00:00,0.067050002515316,7.422000408172607,6.576000213623047,9.916368517321349,"{""lat"":30.5146219,""lon"":76.6625156}"
2025-04-09 21:54:24.942400948+00:00,0.1939500123262405,7.483950138092041,6.484950542449951,9.904630725814624,"{""lat"":30.5146219,""lon"":76.6625156}"
2025-04-09 21:54:25.961599350+00:00,-0.4369500279426574,7.704000473022461,6.487050533294678,10.080891490179235,"{""lat"":30.5146219,""lon"":76.6625156}"
2025-04-09 21:54:26.964299706+00:00,-0.3390000164508819,7.80495023727417,6.274050235748291,10.01977422790419,"{""lat"":30.5146219,""lon"":76.6625156}"
2025-04-09 21:54:27.978799802+00:00,-1.2660000324249268,7.80495023727417,6.046950340270996,9.95417564171587,"{""lat"":30.5146219,""lon"":76.6625156}"
2025-04-09 21:54:29.026560174+00:00,-1.2660000324249268,7.80495023727417,6.046950340270996,9.95417564171587,"{""lat"":30.5146219,""lon"":76.6625156}"
2025-04-09 21:54:30.016752706+00:00,-0.739050030708313,7.210950374603271,6.946950435638428,10.040125527507012,"{""lat"":30.5146219,""lon"":76.6625156}"
2025-04-09 21:54:31.005969665+00:00,-0.6580500602722168,7.2709503173828125,6.865950107574463,10.022026705181704,"{""lat"":30.5146219,""lon"":76.6625156}"
2025-04-09 21:54:32.058207428+00:00,-0.6580500602722168,7.2709503173828125,6.865950107574463,10.022026705181704,"{""lat"":30.5146219,""lon"":76.6625156}"
2025-04-09 21:54:33.048797226+00:00,-0.24795001745224,7.615950584411621,7.752000331878662,10.87003641487926,"{""lat"":30.5146219,""lon"":76.6625156}"
2025-04-09 21:54:34.048316853+00:00,-0.6529500484466553,7.35705041885376,6.832050323486328,10.061284523060284,"{""lat"":30.5146219,""lon"":76.6625156}"
2025-04-09 21:54:35.060919272+00:00,-1.0600500106811523,7.099050521850586,6.949950218200684,9.991097656033592,"{""lat"":30.5146219,""lon"":76.6625156}"
2025-04-09 21:54:50.446481407+00:00,-1.125,6.627000331878662,6.745950222015381,9.523161386673507,"{""lat"":30.5146219,""lon"":76.6625156}"
2025-04-09 21:54:51.390338218+00:00,-1.1920500993728638,7.254000186920166,6.789000511169434,10.006599327039703,"{""lat"":30.5146219,""lon"":76.6625156}"
2025-04-09 21:54:52.367864924+00:00,-0.612000048160553,7.242000579833984,7.084050178527832,10.149132149556657,"{""lat"":30.5146219,""lon"":76.6625156}"
2025-04-09 21:54:53.378187314+00:00,-0.7609500288963318,7.386000156402588,6.616950511932373,9.945656204304392,"{""lat"":30.5146219,""lon"":76.6625156}"
2025-04-09 21:54:54.469914985+00:00,-0.5790000557899475,7.198950290679932,6.913950443267822,9.998141681545064,"{""lat"":30.5146219,""lon"":76.6625156}"
2025-04-09 21:54:55.469486974+00:00,-0.6030000448226929,7.156050205230713,6.918000221252441,9.9715290028705,"{""lat"":30.5146219,""lon"":76.6625156}"
