timestamp,x,y,z
69807,0.43,0.24,-0.55
70010,0.55,0.37,-0.55
70214,0.49,-0.06,-0.37
70417,0.49,0.18,-0.49
70621,0.43,0.24,-0.55
70824,0.43,0.24,-0.55
71028,0.43,0.24,-0.49
71231,0.43,0.24,-0.55
71434,0.43,0.31,-0.55
71638,0.49,0.24,-0.49
71840,0.43,0.24,-0.55
72042,0.49,0.24,-0.49
72246,0.43,0.24,-0.49
72449,0.37,0.31,-0.55
72652,0.43,0.24,-0.55
72855,0.43,0.31,-0.49
73059,0.43,0.24,-0.49
73263,0.43,0.31,-0.49
73466,0.43,0.24,-0.55
73669,-2.93,4.33,-0.92
73873,0.37,-0.67,-0.37
74077,0.49,0.12,-0.49
74280,0.43,0.06,-0.49
74483,0.43,0.31,-0.49
74686,0.67,0.24,-0.55
74890,0.37,0.24,-0.43
75093,15.38,0.24,-0.37
75296,0.24,0.31,-0.61
75499,26.0,0.06,0.06
75701,74.83,-0.67,0.0
75906,29.6,2.62,-2.69
76109,16.78,-16.66,11.72
76311,-40.77,8.73,-8.91
76514,3.66,-0.92,0.37
76717,0.85,-3.91,2.87
76920,-3.72,-11.6,9.83
77124,44.37,-27.4,34.12
77327,103.33,-0.18,33.33
77531,10.86,-2.14,2.44
77734,-12.82,-23.19,26.0
77937,-28.75,-4.88,11.96
78140,-84.11,10.5,-8.18
78345,-2.14,1.59,-0.37
78549,122.38,-35.95,22.64
78752,5.0,0.61,-0.55
78957,3.05,0.31,-0.49
79160,0.37,0.24,-0.49
79365,0.79,0.24,-0.55
79568,37.41,-0.55,2.93
79773,24.72,-4.27,15.26
79976,36.19,-47.18,16.72
80180,41.69,-37.23,0.31
80383,37.72,-79.1,97.53
80586,-7.69,3.23,-0.92
80789,70.31,-6.41,-24.72
80994,1.34,0.24,-0.67
81200,1.89,0.49,-1.65
81405,-0.06,0.37,-1.22
81611,0.43,0.31,-0.85
81814,0.31,0.31,-1.16
82017,0.24,0.37,-1.28
82221,0.85,0.43,-1.46
82424,1.04,0.43,-1.34
82628,0.73,0.37,-0.98
82832,0.61,0.31,-0.73
83036,0.67,0.31,-0.85
83241,0.61,0.31,-0.85
83445,0.79,0.31,-0.73
83648,-0.06,0.49,-0.61
83853,-470.03,155.94,-14.1
84056,40.65,-78.43,24.78
84261,74.89,-79.47,-25.45
84465,-201.29,-67.75,68.12
84669,-78.86,-45.84,-85.51
84873,187.44,211.12,-40.83
85078,94.67,135.56,-298.28
85282,701.54,-545.04,-22.58
85486,-74.83,22.16,-149.72
85691,-7.75,-116.76,-240.36
85896,-122.62,287.66,19.71
86101,-170.41,643.68,921.2
86305,-78.0,-218.51,-433.35
86509,-311.58,-247.07,-44.68
86713,132.81,95.83,-64.51
86917,-341.55,469.73,663.94
87120,4.7,-246.7,-569.52
87324,-26.73,-136.29,32.35
87527,-21.3,309.57,247.31
87730,16.54,17.88,-142.58
87933,-110.23,-89.9,135.74
88137,86.36,92.77,-129.21
88341,-51.7,-62.99,-189.51
88545,93.14,-232.67,65.12
88747,146.73,-99.06,-274.72
88950,-64.94,101.81,-124.21
89155,-46.94,74.58,-159.48
89360,4.39,14.16,-165.59
89563,-71.29,-105.1,-2.69
89767,59.2,-250.67,637.7
89972,-46.69,297.0,35.58
90175,4.03,168.21,-168.95
90380,-202.82,272.95,-155.4
90583,-212.04,633.97,329.22
90786,254.09,-298.83,-366.88
90988,33.57,-832.89,-164.98
91191,70.98,363.95,-249.02
91394,48.77,449.52,-54.44
91598,1617.68,-864.14,173.77
91801,156.68,124.57,-104.37
92003,9.83,535.34,70.92
92207,-18.68,322.14,164.12
92411,31.86,-121.09,-30.64
92614,61.16,40.04,-345.89
92818,76.11,-118.04,157.47
93022,123.72,-113.77,-346.8
93224,289.79,-403.56,-80.69
93427,-313.29,185.85,-127.56
93630,28.5,-26.25,2.69
93834,-30.76,87.28,86.06
94038,-189.82,-26.86,111.63
94242,-144.53,179.2,22.95
94446,164.73,32.78,7.02
94650,729.37,85.69,86.36
94853,32.71,134.46,-10.38
95059,-94.6,23.01,52.98
95263,4.09,-110.53,112.06
95467,36.5,-26.43,56.52
95669,19.65,-9.7,10.13
95873,-8.36,4.7,-64.94
96078,-1.16,-2.87,-0.49
96283,21.55,-3.17,55.97
96488,-3.36,-12.94,44.43
96692,-7.81,7.87,-75.56
96897,-14.83,0.73,7.51
97100,9.03,-17.82,65.49
97305,7.2,32.9,-66.16
97510,-26.0,-2.26,-34.3
97712,12.7,-17.82,45.9
97916,-7.75,-1.59,-12.51
98120,63.17,46.75,11.23
98323,-14.95,-32.53,11.47
98527,-41.38,-39.18,2.99
98731,40.28,69.4,-1.83
98934,35.34,44.68,-16.11
99140,-46.69,-118.59,44.92
99345,-60.61,93.2,19.78
99549,17.58,-21.12,85.57
99752,7.81,-16.3,122.44
99955,22.16,27.28,-55.54
100160,-5.07,55.91,-83.62
100362,-178.04,35.52,-65.55
100565,110.17,-88.68,-39.18
100768,-71.11,185.18,-8.79
100973,8.3,42.85,-75.5
101177,-22.58,-96.8,26.43
101380,36.07,-4.82,12.39
101584,-50.66,15.38,34.97
101789,-35.77,23.32,28.26
101993,10.62,8.24,34.61
102197,-45.84,21.73,15.56
102400,-11.23,-11.54,32.78
102603,-74.34,30.15,7.87
102808,-1.34,-7.2,32.65
103011,-16.36,10.19,42.54
103213,42.79,7.63,-11.84
103416,2.26,-14.4,24.72
103621,-36.5,48.1,29.66
103824,-71.23,6.23,101.75
104028,10.8,3.6,22.71
104230,81.24,23.44,-68.48
104434,81.24,45.29,-322.88
104637,101.62,-118.96,-39.49
104842,41.93,0.18,23.38
105045,28.32,58.41,14.1
105248,-50.96,44.98,-5.31
105452,47.24,-5.37,20.26
105655,-247.25,-0.31,-38.51
105859,-51.45,7.75,13.79
106062,-12.45,-0.43,10.38
106265,-20.26,24.84,-48.58
106469,16.91,-36.62,-33.39
106673,-20.69,-4.82,-8.91
106877,-23.01,48.83,6.59
107081,47.0,1.53,1.89
107283,48.71,6.41,31.74
107487,32.1,8.67,12.88
107690,-52.67,-0.12,-13.49
107894,76.84,-18.74,8.12
108096,40.89,-58.47,30.33
108300,-148.8,51.64,-42.11
108504,41.2,-47.24,-10.38
108707,113.53,-37.72,-22.52
108911,11.35,8.97,-9.77
109113,-85.27,69.95,-18.13
109316,14.47,57.07,-12.15
109520,43.58,22.22,-4.52
109724,-8.54,-11.17,0.98
109928,-8.3,-26.92,4.94
110132,143.25,-65.67,-28.99
110335,-152.77,-112.06,19.41
110539,62.99,-42.72,-1.95
110743,-42.05,-0.12,-14.71
110946,89.84,138.79,-25.7
111151,6.04,50.35,-0.92
111354,92.59,27.71,-14.77
111557,-37.05,-22.89,-0.55
111761,-25.45,-8.24,-6.53
111963,-62.38,-37.05,61.04
112166,-11.05,-69.15,11.6
112370,-13.61,-31.8,21.18
112573,2.5,30.27,-15.01
112776,95.7,88.81,-22.83
112979,89.29,85.14,-39.61
113183,55.79,45.23,-26.49
113386,-9.22,-46.26,-0.92
113590,-73.43,-111.02,13.49
113793,-49.26,-4.21,35.52
113996,-25.88,-40.04,-9.34
114200,0.06,-17.27,20.14
114402,25.57,58.78,-19.04
114605,66.04,72.51,-30.27
114810,21.24,56.58,-0.12
115013,-41.08,23.62,-18.19
115217,55.73,-23.68,-18.01
115421,-33.87,-156.74,-11.29
115626,-19.9,2.08,-0.37
115830,-20.57,-13.85,23.86
116034,45.1,18.37,-13.12
116237,33.69,23.56,-6.47
116443,17.58,27.16,8.0
116646,20.75,19.41,4.76
116849,-20.26,-10.07,13.43
117052,-17.7,-9.03,8.85
117257,-91.74,-50.29,31.68
117462,57.37,64.33,-16.85
117666,55.66,83.8,-18.98
117870,-26.12,7.51,3.23
118073,40.28,-31.74,24.41
118275,9.83,17.33,-1.4
118479,42.05,-0.67,9.34
118681,-106.26,-70.01,22.58
118884,-78.25,-42.91,23.93
119088,-6.41,-6.71,7.14
119292,32.9,13.12,-11.9
119496,37.05,41.75,-30.7
119700,-29.91,74.46,10.8
119903,-54.32,-5.07,-0.67
120107,-61.46,-103.7,38.45
120311,5.86,-14.53,-2.69
120515,1.04,1.89,-0.92
120719,-0.37,-0.18,-0.18
120923,2.56,1.34,0.31
121126,66.1,48.77,-34.3
121329,46.33,41.63,-12.21
121535,-12.21,-11.35,7.39
121739,-19.04,-7.63,5.86
121942,-67.44,-19.29,20.2
122145,54.02,-60.12,19.65
122349,1.04,6.96,-2.01
122553,43.33,31.25,-8.67
122757,20.08,16.48,-2.99
122961,-9.22,1.04,3.48
123165,-1.4,-2.81,0.61
123369,1.46,-1.16,-0.73
123572,-6.65,-3.78,0.06
123775,-4.27,-2.14,0.43
123979,-3.91,-5.43,-0.49
124183,-1.4,-0.55,3.54
124386,-57.62,21.73,44.62
124588,-38.21,-25.82,11.6
124791,-5.8,-7.32,-15.14
124994,45.17,25.09,-18.86
125197,53.47,14.83,-37.35
125399,83.5,75.62,-78.98
125602,34.12,81.3,-46.26
125804,7.57,1.77,-8.24
126007,-0.06,-14.47,-0.31
126210,-32.23,-115.36,33.69
126413,-18.62,-10.99,30.27
126615,-6.35,0.85,1.83
126818,-59.14,0.67,98.88
127021,34.18,0.98,-27.59
127223,103.27,88.2,-15.26
127426,45.78,-21.55,-36.62
127628,-17.21,-75.32,-31.86
127832,-7.87,-37.9,0.73
128035,-25.45,-32.96,0.92
128237,-1.95,-14.1,-13.31
128441,-31.74,-4.82,45.96
128644,5.19,2.32,4.58
128846,0.79,2.87,9.89
129050,-101.99,61.22,142.4
129254,27.71,-13.61,-8.18
129456,14.4,-5.62,-22.34
129659,4.21,-0.85,-1.95
129861,-1.28,-0.37,-2.56
130064,2.87,0.24,-1.28
130267,4.82,15.32,0.85
130469,2.2,-0.12,-0.18
130672,-2.08,-1.16,-4.27
130875,1.04,1.28,-4.09
131077,-0.06,-0.31,0.31
131280,6.41,10.13,4.7
131484,109.37,30.64,-73.55
131687,1.34,51.88,-49.26
131890,28.02,-11.9,-9.34
132093,-79.22,-22.89,-7.51
132296,-39.49,-39.43,135.19
132498,-62.99,-7.63,111.39
132701,-7.26,22.4,32.84
132904,-12.08,14.95,-2.44
133108,-124.69,-31.62,101.32
133311,17.21,-29.17,120.18
133513,-4.7,-24.35,57.19
133716,-1.16,-7.02,5.86
133919,-0.92,-3.36,7.14
134123,-11.29,2.2,-4.03
134326,16.11,6.47,-7.14
134529,2.44,1.1,-1.1
134732,-6.59,-13.55,-0.98
134935,-3.17,-1.95,-1.53
135137,7.63,-5.19,9.77
135341,15.2,-12.76,-3.36
135546,25.76,-4.46,-91.67
135750,104.55,-29.6,-235.96
135953,-4.76,6.23,-70.62
136157,-10.31,-3.23,12.27
136359,-6.59,1.71,7.75
136562,4.64,1.77,-2.62
136766,7.69,-9.16,-1.65
136969,-47.3,30.46,41.02
137172,84.11,5.55,13.55
137374,-46.57,23.01,31.01
137577,-4.52,22.09,-4.88
137780,-3.3,45.96,5.0
137983,4.15,0.85,42.85
138185,-28.81,-83.98,-0.61
138388,77.94,4.88,6.77
138591,18.01,23.86,2.01
138795,6.29,-9.89,-5.43
139000,-7.02,32.84,-45.47
139203,10.99,11.23,-28.93
139407,26.98,-4.82,16.11
139609,-51.33,41.5,-19.78
139814,-65.67,-19.29,49.74
140017,-48.77,20.2,26.0
140221,59.81,-6.53,-10.38
140424,26.31,-65.73,35.22
140628,56.46,10.13,20.45
140832,-67.02,36.01,-57.37
141035,42.97,-19.53,-5.74
141240,-71.29,60.91,-20.75
141442,171.2,-57.5,13.31
141646,32.17,-25.63,-39.25
141848,8.97,-13.49,-54.26
142051,42.54,-47.12,-22.03
142254,-9.64,-45.53,-1.83
142458,-112.0,-8.06,-1.83
142662,5.55,16.24,-1.71
142864,86.3,-20.69,43.7
143067,-10.38,22.09,-22.34
143270,-4.39,4.94,11.47
143473,-6.47,13.98,2.99
143676,10.86,6.96,-1.65
143879,-95.46,50.6,-43.88
144082,-42.54,30.76,123.9
144285,27.22,-88.68,-6.16
144488,31.37,1.53,-50.17
144691,12.76,-31.56,-120.61
144894,-114.62,11.23,-68.79
145097,-165.65,-28.38,-44.49
145301,15.56,6.53,-0.43
145504,-18.8,20.39,9.22
145708,124.94,98.33,1.22
