time,value
2025-04-15T09:31:59.167825589Z,-0.013950000517070293
2025-04-15T09:32:00.170801278Z,-0.046950001269578934
2025-04-15T09:32:01.150976742Z,-0.032999999821186066
2025-04-15T09:32:06.310727775Z,-0.010950000956654549
2025-04-15T09:32:07.440783124Z,-0.0690000057220459
2025-04-15T09:32:08.426618128Z,0.004050000105053186
2025-04-15T09:32:09.496108763Z,-0.025950001552700996
2025-04-15T09:32:10.465475714Z,-0.037950001657009125
2025-04-15T09:32:11.470933773Z,-0.016050001606345177
2025-04-15T09:32:12.49578264Z,-0.030000001192092896
2025-04-15T09:32:13.495723405Z,-0.016050001606345177
2025-04-15T09:32:14.51056023Z,-0.04200000315904617
2025-04-15T09:32:15.541203745Z,-0.010950000956654549
2025-04-15T09:32:16.530880254Z,-0.04200000315904617
2025-04-15T09:32:17.550837768Z,-0.028050001710653305
2025-04-15T09:32:18.570791272Z,-0.04005000367760658
2025-04-15T09:32:19.585621377Z,-0.018000001087784767
2025-04-15T09:32:20.610834883Z,-0.04005000367760658
2025-04-15T09:32:21.600846796Z,-0.025950001552700996
2025-04-15T09:32:22.650682984Z,-0.037950001657009125
