time,value
2025-04-15T09:31:59.167825589Z,9.97605037689209
2025-04-15T09:32:00.170801278Z,9.981000900268555
2025-04-15T09:32:01.150976742Z,9.99000072479248
2025-04-15T09:32:06.310727775Z,9.97800064086914
2025-04-15T09:32:07.440783124Z,10.183950424194336
2025-04-15T09:32:08.426618128Z,9.982950210571289
2025-04-15T09:32:09.496108763Z,9.994950294494629
2025-04-15T09:32:10.465475714Z,9.97095012664795
2025-04-15T09:32:11.470933773Z,9.957000732421875
2025-04-15T09:32:12.49578264Z,9.985050201416016
2025-04-15T09:32:13.495723405Z,9.937950134277344
2025-04-15T09:32:14.51056023Z,9.985050201416016
2025-04-15T09:32:15.541203745Z,9.97605037689209
2025-04-15T09:32:16.530880254Z,9.95205020904541
2025-04-15T09:32:17.550837768Z,9.969000816345215
2025-04-15T09:32:18.570791272Z,9.982950210571289
2025-04-15T09:32:19.585621377Z,9.96405029296875
2025-04-15T09:32:20.610834883Z,9.993000030517578
2025-04-15T09:32:21.600846796Z,9.982950210571289
2025-04-15T09:32:22.650682984Z,9.95895004272461
